"","item_name","group","subcategory","url","path","description","scrape_status"
"11","Black Sorcerer Cloak","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Black+Sorcerer+Cloak","/Black+Sorcerer+Cloak","""Cloak worn by the secret sorcerers at Vinheim Dragon School. They secretly work with sound-based spells, and never reveal themselves.""","ok_blockquote"
"12","Brass Armor","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Brass+Armor","/Brass+Armor","""Armor of the Darkmoon Knightess, Fire Keeper of Anor Londo. After becoming Undead, she visited the Dark Sun Gwyndolin at the Mausoleum of the Spiral Depths, became a Blade of Darkmoon, and assumed the flame-keeping duty. She received this armor, which hides her hideous form and helps her hunt the guilty.""","ok_blockquote"
"13","Brigand Armor","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Brigand+Armor","/Brigand+Armor","""Worn by the brigands who raid mountain hamlets and attack travelers. Worn by the brigands who raid mountain hamlets and attack travelers""","ok_blockquote"
"14","Catarina Armor","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Catarina+Armor","/Catarina+Armor","Distinctively shaped armor worn by the Knights of Catarina. Outside of Catarina, it is often ridiculed for their onion-like shape, infuriating the proud knights, but the masterfully forged curved design makes it very effective for parrying.","ok_blockquote"
"15","Chain Armor","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Chain+Armor","/Chain+Armor","""Chainmail armor of thin interlinking rings of steel. It is common throughout the human world since it can be easily produced, is not too heavy, and offers good defense. Knights may favor flashy armor, but for warriors on the battlefield, anything is fine as long as it keeps them alive.""","ok_blockquote"
"16","Chester's Long Coat","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Chester's+Long+Coat","/Chester's+Long+Coat","""Black leather long coat hat worn by Marvellous Chester, a man of mystery lost in the past. This exquisitely sewn aristocratic suit allows its wearer to move in silence, lending well to stealth.""","ok_blockquote"
"17","Cleric Armor","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Cleric+Armor","/Cleric+Armor","Armor worn by the warrior clerics of the Way of White, who are famous for being unyielding in battle. It is rather substantial in size and weight, making its wearer look even bigger than he actually is.","ok_blockquote"
"18","Crimson Robe","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Crimson+Robe","/Crimson+Robe","""Robe of the sorcerers who flooded New Londo to seal away the Dark wraiths, and the Four Kings who descended into Dark. The Sealers were once known as healers, and the bright crimson was a symbol of that.""","ok_blockquote"
"19","Crystalline Armor","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Crystalline+Armor","/Crystalline+Armor","""Armor worn by a Hollowed knight, who was partially crystallized. The crystal provides powerful defense, but it cannot be used for long because it is easily broken and cannot be repaired.""","ok_blockquote"
"20","Dark Armor","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Dark+Armor","/Dark+Armor","Armor of the Darkwraiths, former knights of New Londo who descended into Dark. Their armor transformed, and remains a symbol of the Dark servants and their diabolical art of Lifedrain.","ok_blockquote"
"21","Dingy Robe","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Dingy+Robe","/Dingy+Robe","""Worn by the Fire Keeper at Firelink Shrine. It is thought to have once been the white robe of a maiden, but smoke and ashes from bonfires darkened it over the years.""","ok_blockquote"
"22","Eastern Armor","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Eastern+Armor","/Eastern+Armor","""A distinctive armor made in an Eastern land. Exquisitely crafted, this armor offers excellent defense, particularly versus slash attacks, which are one of the main threats in battles in the East.""","ok_blockquote"
"23","Elite Knight Armor","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Elite+Knight+Armor","/Elite+Knight+Armor","""Armor of a nameless knight, perhaps an elite knight of Astora, based on the fire-warding heraldic symbol on its blue surcoat. Although he was loath to give up on his Undead mission, he perished at the Undead Asylum, and went Hollow.""","ok_blockquote"
"24","Embraced Armor of Favor","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Embraced+Armor+of+Favor","/Embraced+Armor+of+Favor","""Armor of Lautrec the Embraced, representing the goddess Fina's love. The goddess's arms wrap around it, as if to embrace the wearer.""","ok_blockquote"
"25","Giant Armor","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Giant+Armor","/Giant+Armor","Armor of the giant sentinels of Anor Londo. Made from ancient brass, it also offers protection versus non-physical attacks, but due to its giant size, it is extremely heavy for humans, and impedes stamina recovery.","ok_blockquote"
"26","Gold-Hemmed Black Cloak","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Gold-Hemmed+Black+Cloak","/Gold-Hemmed+Black+Cloak","""Worn by the witch Quelana of Izalith, mother of pyromancy and Daughter of Chaos. She wore this gold-hemmed black cloak before even the Age of Fire, and it offers strong resistance versus fire, poison, and other perils.""","ok_blockquote"
"27","Golem Armor","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Golem+Armor","/Golem+Armor","Body of the Iron Golem, guardian of the ancient Sen's Fortress, slayer of heroes who ventured forth to Anor Londo. Without its core, it is a mere hunk of iron, and can be equipped as solid protective gear, but its immense weight hinders stamina recovery.","ok_blockquote"
"28","Gough's Armor","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Gough's+Armor","/Gough's+Armor","Armor of Hawkeye Gough, one of Gwyn's Four Knights. Armor donned by Gough since his days as a dragonslayer. The medallion, bequeathed by the Lord Himself, and the dragon bone pauldrons are symbols of the highest honors.","ok_blockquote"
"29","Guardian Armor","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Guardian+Armor","/Guardian+Armor","Armor of the stone knights, guardians of the forest sanctuary. The stone knights are golems animated by magic, and their enchanted armor is oppressively heavy.""","ok_blockquote"
"30","Hard Leather Armor","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Hard+Leather+Armor","/Hard+Leather+Armor","""Armor made of thick leather. Very common type of protective gear, they provide a sound level of defense.""","ok_blockquote"
"31","Havel's Armor","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Havel's+Armor","/Havel's+Armor","Armor worn by Havel the Rock's warriors. Carved from solid rock, its tremendous weight is matched only by the defense it provides. Havel's warriors never flinched nor retreated from battle. Those unfortunate enough to face them were inevitably beaten to a pulp.","ok_blockquote"
"32","Hollow Soldier Armor","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Hollow+Soldier+Armor","/Hollow+Soldier+Armor","""Armor worn by Hollow soldiers. It may be old and battered, but its iron construction makes it quite sturdy.""","ok_blockquote"
"33","Hollow Thief's Leather Armor","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Hollow+Thief's+Leather+Armor","/Hollow+Thief's+Leather+Armor","""Leather armor worn by Hollow thieves. It stifles noise and helps its wear hide in the shadows.""","ok_p_tag"
"34","Hollow Warrior Armor","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Hollow+Warrior+Armor","/Hollow+Warrior+Armor","""Armor worn by Hollow warriors. It is made of thick leather that is tattered with age.""","ok_blockquote"
"35","Holy Robe","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Holy+Robe","/Holy+Robe","""Robe donned by men of the cloth. Though plain to the eye, its hardy fabric repels rain and keeps the body warm. Those dissatisfied with church teachings must test their faith by going on a spiritual journey. Such is the ritual self-purification of the Way of White.""","ok_blockquote"
"36","Knight Armor","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Knight+Armor","/Knight+Armor","""Armor equipment of a lower a rank knight. Despite the thin metal used, the grooved texture gives them added protection.""","ok_blockquote"
"37","Leather Armor","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Leather+Armor","/Leather+Armor","""Made of soft leather. Very common type of protective gear.""","ok_blockquote"
"38","Lord's Blade Robe","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Lord's+Blade+Robe","/Lord's+Blade+Robe","""Robe of the Lord's Blade Ciaran, one of Gwyn's Four Knights. A robe common to all of the Lord's Blades, These deadly women shift nimbly between layers of darkness, etching streaks of gold into the night air, and planting visions of terror into the minds of their targets.""","ok_blockquote"
"39","Maiden Robe","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Maiden+Robe","/Maiden+Robe","""White robe worn by traveling maidens. It is part of their formal attire, regardless of rank. It is soft and well-made, but does not offer much in the way of defense, making it ill- suited to use in battle.""","ok_blockquote"
"40","Moonlight Robe","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Moonlight+Robe","/Moonlight+Robe","""Robe of the Dark Sun Gwyndolin, protector of the forsaken city of Anor Londo. The power of the moon was strong in Gwyndolin, and thus he was raised as a daughter. His magic garb is silk-thin and hardly provides any physical defense.""","ok_blockquote"
"41","Ornstein's Armor","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Ornstein's+Armor","/Ornstein's+Armor","""Armor of the dragonslayer Ornstein, who guards the cathedral in the forsaken city of Anor Londo. Ornstein is believed to be the captain of the Four Knights. His golden lion armor is imbued with the power of lightning and should provide good protection against it.""","ok_blockquote"
"42","Painting Guardian Robe","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Painting+Guardian+Robe","/Painting+Guardian+Robe","""Robe worn by the alabaster-clothed guardians of the paintings in Anor Londo. Offer substantial protection versus magic. They have guarded the Great Painting of Ariamis for ages, passing their duty down through generations, but the reason for doing so passed from all memory long ago.""","ok_blockquote"
"43","Paladin Armor","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Paladin+Armor","/Paladin+Armor","Armor of Leeroy, Paladin of the Catacombs. Long ago, the Way of the White produced its first Undead, a paladin in golden armor. With the legendary treasures Grant and Sanctus, Leeroy set out for Lordran, Land of the Gods, in the first Undead mission of the Way of White.","ok_blockquote"
"44","Robe of the Channelers","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Robe+of+the+Channelers","/Robe+of+the+Channelers","""Robe of the Channelers, sorcerers that serve Seath the Scaleless. Even after the onset of Seath's madness, the ""snatchers"" as they were often called, ventured to far lands to find suitable human specimens. The heaviest of protective gear for sorcerers, and imbued with magic.""","ok_blockquote"
"45","Robe of the Great Lord","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Robe+of+the+Great+Lord","/Robe+of+the+Great+Lord","""Robe of Gwyn, Lord of Cinder, who linked the First Flame. Lord Gwyn, bearer of the ultimate soul,divided that power among his clan before linking the flame. When he departed, he left only with his greatsword, his garb, and the crown, now bereft of power.""","ok_blockquote"
"46","Sage Robe","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Sage+Robe","/Sage+Robe","""Robe worn by Big Hat Logan. It is said to have been from his apprentice days at Dragon School, but it is so worn out, no one knows what it originally looked like. Logan, who cared little for his appearance, no doubt ever bothered to change out of it.""","ok_blockquote"
"47","Shadow Garb","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Shadow+Garb","/Shadow+Garb","""Black cloth garb worn by spooks from an Eastern land. Designed so as not to hinder their unique form of martial arts. White it sacrifices defense for the sake of greater mobility, it does offer resistance to bleeding and poison among other things, perhaps due to the nature of espionage.""","ok_blockquote"
"48","Silver Knight Armor","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Silver+Knight+Armor","/Silver+Knight+Armor","Armor of the Silver Knights who protect Anor Londo. When Lord Gwyn departed to link the Fire, his knights split into two groups. The Silver Knights remained in the forsaken capital in the service of their goddess.","ok_blockquote"
"49","Smough's Armor","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Smough's+Armor","/Smough's+Armor","Armor of Smough, the Executioner, protector of the cathedral at the forsaken city of Anor Londo. It offers extremely high defense and can be worn by humans, but not without great difficulty.","ok_blockquote"
"50","Sorcerer Cloak","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Sorcerer+Cloak","/Sorcerer+Cloak","""Cloak worn by proper sorcerers who studied at Vinheim Dragon School. The majority take pride in having studied at the academy and look down on breaking the formal dress code established for sorcerers.""","ok_blockquote"
"51","Steel Armor","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Steel+Armor","/Steel+Armor","Armor of the Knights of Berenike, known for their heavy armaments and armor. Countless Knights of Berenike, once extolled as the mightiest of mighty, became Undead and ventured to Lordran. But their journey was for naught, as they went Hollow, and became a threat to all Undead.""","ok_blockquote"
"52","Stone Armor","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Stone+Armor","/Stone+Armor","""Moss-covered armor of the Stone Knight, defender of the Darkroot Garden. The Stone Knight is a product of ancient magic, and although this armor is also imbued with magic, it is incredibly heavy.""","ok_blockquote"
"53","Tattered Cloth Robe","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Tattered+Cloth+Robe","/Tattered+Cloth+Robe","""Robe worn by the pyromancers of the Great Swamp. Though it appears tattered, it is actually quite strong. Their attire offers substantial protection against poison, fire, and other forces of nature out in the hinterlands where they were driven.""","ok_blockquote"
"54","Wanderer Coat","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Wanderer+Coat","/Wanderer+Coat","""Coat of an aimless traveler. Made from sturdy leather and quilting. Battle comes with the territory when one wanders the land, and this coat provides a certain degree of protection..""","ok_blockquote"
"55","Witch Cloak","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Witch+Cloak","/Witch+Cloak","""Cloak of the rogue witch Beatrice. Almost all magic users that employ catalysts studied at Dragon School, but Beatrice is one of the few exceptions. She braved the Abyss but did not live to tell of her ordeal.""","ok_blockquote"
"56","Xanthous Overcoat","ARMOR","Chest Armor","https://darksouls.wiki.fextralife.com/Xanthous+Overcoat","/Xanthous+Overcoat","""A mysterious item once worn by the Xanthous King Jeremiah, the legendary exile. No one knows where it came from. It may be tattered, but its bright yellow color still stings the eyes.""","ok_blockquote"
"57","Antiquated Gloves","ARMOR","Gauntlets","https://darksouls.wiki.fextralife.com/Antiquated+Gloves","/Antiquated+Gloves","Gloves from the ancient fallen land of Oolacile. Their ivory-colored silk features elaborate embroidery and are imbued with ancient magic power. One cannot expect any physical protection from these, as they were not meant to be worn in battle.","ok_blockquote"
"58","Balder Gauntlets","ARMOR","Gauntlets","https://darksouls.wiki.fextralife.com/Balder+Gauntlets","/Balder+Gauntlets","""Gauntlets worn by the knights of the ancient kingdom of Balder. It is made from thick iron plates. Balder was the homeland of the Knight King Rendal, but it came to ruin after a great many Undead were spawned.""","ok_p_tag"
"59","Black Iron Gauntlets","ARMOR","Gauntlets","https://darksouls.wiki.fextralife.com/Black+Iron+Gauntlets","/Black+Iron+Gauntlets","""Gauntlets of Black Iron Tarkus, a knight known for his great strength. Built of a special black iron and providing strong defense, notably against fire, but so terrible heavy to be unwieldy to all but Tarkus himself.""","ok_p_tag"
"60","Black Knight Gauntlets","ARMOR","Gauntlets","https://darksouls.wiki.fextralife.com/Black+Knight+Gauntlets","/Black+Knight+Gauntlets","""Gauntlets of the Black Knights who haunt Lordran. The knights followed Lord Gwyn when he departed to link the flame, but they were burned to ashes in newly kindled fire, wandering the world as disembodied spirits ever after.""","ok_p_tag"
"61","Black Leather Gloves","ARMOR","Gauntlets","https://darksouls.wiki.fextralife.com/Black+Leather+Gloves","/Black+Leather+Gloves","""This armor is made of smooth black leather is extremely quiet, a good thing for those who hide in the shadows. The leather itself is thick, offering a decent level of protection.""","ok_blockquote"
"62","Black Manchette","ARMOR","Gauntlets","https://darksouls.wiki.fextralife.com/Black+Manchette","/Black+Manchette","Manchette worn by pardoners serving Velka, the Goddess of Sin. The pardoners' attire is uniformly black in color and said to be imbued with Velka's mystical power, which provides resistance against all manner of magic","ok_blockquote"
"63","Black Sorcerer Gauntlets","ARMOR","Gauntlets","https://darksouls.wiki.fextralife.com/Black+Sorcerer+Gauntlets","/Black+Sorcerer+Gauntlets","Gauntlets worn by the secret sorcerers at Vinheim Dragon School. They secretly work with sound-based spells, and never reveal themselves.","ok_blockquote"
"64","Bracelet of the Great Lord","ARMOR","Gauntlets","https://darksouls.wiki.fextralife.com/Bracelet+of+the+Great+Lord","/Bracelet+of+the+Great+Lord","Bracelet of Gwyn, Lord of Cinder, who linked the First Flame. Lord Gwyn, bearer of the ultimate soul, divided that power among his clan before linking the flame. When he departed, he left only with his greatsword, his garb, and the crown, now bereft of power.","ok_blockquote"
"65","Brass Gauntlets","ARMOR","Gauntlets","https://darksouls.wiki.fextralife.com/Brass+Gauntlets","/Brass+Gauntlets","""Gauntlets of the Darkmoon Knightess, Fire Keeper of Anor Londo. After becoming Undead, she visited the Dark Sun Gwyndolin at the Mausoleum of the Spiral Depths, became a Blade of Darkmoon, and assumed the flame-keeping duty. She received these gauntlets, which hide her hideous form and help her hunt the guilty.""","ok_p_tag"
"66","Brigand Gauntlets","ARMOR","Gauntlets","https://darksouls.wiki.fextralife.com/Brigand+Gauntlets","/Brigand+Gauntlets","""Worn by the brigands who raid mountain hamlets and attack travelers. The addition of metal over a base of cloth and leather offers good mobility and defense""","ok_blockquote"
"67","Catarina Gauntlets","ARMOR","Gauntlets","https://darksouls.wiki.fextralife.com/Catarina+Gauntlets","/Catarina+Gauntlets","""Distinctively shaped gauntlets worn by the Knights of Catarina. Outside of Catarina, they are often ridiculed for their onion-like shape, infuriating the proud knights, but the masterfully forged curved design makes it very effective for parrying.""","ok_p_tag"
"68","Chester's Gloves","ARMOR","Gauntlets","https://darksouls.wiki.fextralife.com/Chester's+Gloves","/Chester's+Gloves","Leather gloves worn by Marvellous Chester, a man of mystery lost in the past. These gloves have no distinguishing features, but are of extremely high quality.","ok_blockquote"
"69","Crimson Gloves","ARMOR","Gauntlets","https://darksouls.wiki.fextralife.com/Crimson+Gloves","/Crimson+Gloves","""Gloves of the sorcerers who flooded New Londo to seal away the Dark wraiths, and the Four Kings who descended into Dark. The Sealers were once known as healers, and the bright crimson was a symbol of that.""","ok_blockquote"
"70","Crystalline Gauntlets","ARMOR","Gauntlets","https://darksouls.wiki.fextralife.com/Crystalline+Gauntlets","/Crystalline+Gauntlets","""Gauntlets worn by a Hollowed knight, who was partially crystallized. The crystal provides strong defense, but they cannot be used for long because they are easily broken and cannot be repaired.""","ok_p_tag"
"71","Dark Gauntlets","ARMOR","Gauntlets","https://darksouls.wiki.fextralife.com/Dark+Gauntlets","/Dark+Gauntlets","""Gauntlets of the Darkwraiths, former knights of New Londo who descended into Dark. Their gauntlets transformed, and remain symbol of the Dark servants and their diabolical art of Lifedrain.""","ok_p_tag"
"72","Dingy Gloves","ARMOR","Gauntlets","https://darksouls.wiki.fextralife.com/Dingy+Gloves","/Dingy+Gloves","Worn by the Fire Keeper at Firelink Shrine. They are thought to have once been the white gloves of a maiden, but smoke and ashes from bonfires darkened them over the years.","ok_blockquote"
"73","Eastern Gauntlets","ARMOR","Gauntlets","https://darksouls.wiki.fextralife.com/Eastern+Gauntlets","/Eastern+Gauntlets","""Distinctive gauntlets made in an Eastern land. Exquisitely crafted, these gauntlets offer excellent defense, particularly versus slash attacks, which are one of the main threats in battles in the East.""","ok_p_tag"
"74","Elite Knight Gauntlets","ARMOR","Gauntlets","https://darksouls.wiki.fextralife.com/Elite+Knight+Gauntlets","/Elite+Knight+Gauntlets","""Gauntlets of a nameless knight, perhaps an elite knight of Astora. Although he was loath to give up on his Undead mission, he perished at the Undead Asylum, and went Hollow.""","ok_p_tag"
"75","Gauntlets of Artorias","ARMOR","Gauntlets","https://darksouls.wiki.fextralife.com/Gauntlets+of+Artorias","/Gauntlets+of+Artorias","""Gauntlets of Artorias the Abysswalker, one of Gwyn's four knights. The death of the their owner can be surmised from the corrosive Dark of the Abyss, which has compromised their protective utility.""","ok_p_tag"
"76","Gauntlets of Favor","ARMOR","Gauntlets","https://darksouls.wiki.fextralife.com/Gauntlets+of+Favor","/Gauntlets+of+Favor","""Gauntlets of Lautrec the Embraced, representing the goddess Fina's love. During his solitude, he forsook everything, for he believed in the goddess's love for him.""","ok_p_tag"
"77","Gauntlets of Thorns","ARMOR","Gauntlets","https://darksouls.wiki.fextralife.com/Gauntlets+of+Thorns","/Gauntlets+of+Thorns","""Gauntlets of Kirk, knight of Thorns and notorious member of the Darkwraiths. A dense patch of thorns grows from their surface. They are a fitting item for the murderous Kirk, for by simply wearing them and rolling, one can damage enemies.""","ok_p_tag"
"78","Gauntlets of the Channelers","ARMOR","Gauntlets","https://darksouls.wiki.fextralife.com/Gauntlets+of+the+Channelers","/Gauntlets+of+the+Channelers","Gauntlets of the Channelers, sorcerers that serve Seath the Scaleless. Even after the onset of Seath's madness, the ""snatchers"" as they were often called, ventured to far lands to find suitable human specimens. The heaviest of protective gear for sorcerers, and imbued with magic.","ok_blockquote"
"79","Gauntlets of the Vanquisher","ARMOR","Gauntlets","https://darksouls.wiki.fextralife.com/Gauntlets+of+the+Vanquisher","/Gauntlets+of+the+Vanquisher","""Strange gauntlets from the ancient land of Zena, birthplace of the curious dealer Domhnall. They gold bracelets symbolize a vanquisher.""","ok_p_tag"
"80","Giant Gauntlets","ARMOR","Gauntlets","https://darksouls.wiki.fextralife.com/Giant+Gauntlets","/Giant+Gauntlets","""Gauntlets of the giant sentinels of Anor Londo. Made from ancient brass, they also offer protection versus non-physical attacks, but due to their giant size, they are extremely heavy for humans, and impede stamina recovery.""","ok_p_tag"
"81","Gold-Hemmed Black Gloves","ARMOR","Gauntlets","https://darksouls.wiki.fextralife.com/Gold-Hemmed+Black+Gloves","/Gold-Hemmed+Black+Gloves","Worn by the witch Quelana of Izalith, mother of pyromancy and Daughter of Chaos. She wore these gold lined black gloves before even the Age of Fire, and they offer strong resistance versus fire, poison, and other perils.","ok_blockquote"
"82","Golem Gauntlets","ARMOR","Gauntlets","https://darksouls.wiki.fextralife.com/Golem+Gauntlets","/Golem+Gauntlets","""Arms of the Iron Golem, guardian of the ancient Sen's Fortress, slayer of heroes who ventured forth to Anor Londo. Without its core, they are mere hunks of iron, and can be equipped as solid protective gear, but their immense weight hinders stamina recovery.""","ok_p_tag"
"83","Gough's Gauntlets","ARMOR","Gauntlets","https://darksouls.wiki.fextralife.com/Gough's+Gauntlets","/Gough's+Gauntlets","""Gauntlets of Hawkeye Gough, one of Gwyn's Four Knights. Received as a decoration of honor. Crafted of similar material to the gauntlets worn by the Silver Knights.""","ok_p_tag"
"84","Guardian Gauntlets","ARMOR","Gauntlets","https://darksouls.wiki.fextralife.com/Guardian+Gauntlets","/Guardian+Gauntlets","""Gauntlets of the stone knights, guardians of the forest sanctuary. The stone knights are golems animated by magic, and their enchanted gauntlets are oppressively heavy.""","ok_p_tag"
"85","Hard Leather Gauntlets","ARMOR","Gauntlets","https://darksouls.wiki.fextralife.com/Hard+Leather+Gauntlets","/Hard+Leather+Gauntlets","Gauntlets made of thick leather. Very common type of protective gear, they provide a sound level of defense.","ok_blockquote"
"86","Havel's Gauntlets","ARMOR","Gauntlets","https://darksouls.wiki.fextralife.com/Havel's+Gauntlets","/Havel's+Gauntlets","""Gauntlets worn by Havel the Rock's warriors. Carved from solid rock, their tremendous weight is matched only by the defense it provides. Havel's warriors never flinched nor retreated from battle. Those unfortunate enough to face them were inevitably beaten to a pulp.""","ok_p_tag"
"87","Iron Bracelet","ARMOR","Gauntlets","https://darksouls.wiki.fextralife.com/Iron+Bracelet","/Iron+Bracelet","""Bracelets of Solaire of Astora, Knight of Sunlight. Of high quality, but lacking any particular powers. Solaire's incredible prowess must have come from rigorous training alone, for his equipment exhibits no special traits.""","ok_p_tag"
"88","Knight Gauntlets","ARMOR","Gauntlets","https://darksouls.wiki.fextralife.com/Knight+Gauntlets","/Knight+Gauntlets","Gauntlets equipment of a lower a rank knight. Despite the thin metal used, the grooved texture gives them added protection.","ok_blockquote"
"89","Leather Gauntlets","ARMOR","Gauntlets","https://darksouls.wiki.fextralife.com/Leather+Gauntlets","/Leather+Gauntlets","""Gauntlets made of soft leather. One of the more common kinds of protective gear.""","ok_blockquote"
"90","Leather Gloves","ARMOR","Gauntlets","https://darksouls.wiki.fextralife.com/Leather+Gloves","/Leather+Gloves","""Made of soft leather. Very common type of protective gear.""","ok_blockquote"
"91","Lord's Blade Gloves","ARMOR","Gauntlets","https://darksouls.wiki.fextralife.com/Lord's+Blade+Gloves","/Lord's+Blade+Gloves","""Gloves worn by the Lord's Blade Ciaran, one of Gwyn's four knights. Gloves common to all of the Lord's Blades. These deadly women shift nimbly between layers of darkness, etching streaks of gold into the night air, and planting visions of terror into the minds of their targets.""","ok_p_tag"
"92","Maiden Gloves","ARMOR","Gauntlets","https://darksouls.wiki.fextralife.com/Maiden+Gloves","/Maiden+Gloves","""White gloves worn by traveling maidens. It is part of their formal attire, regardless of rank. It is soft and well-made, but does not offer much in the way of defense, making it ill- suited to use in battle.""","ok_blockquote"
